"predator","Acanthuriformes","Actinopteri","Alpheidae","Amphipoda","Anguilliformes","Annelida","Anthozoa","Apogonidae","Arthropoda","Ascidiacea","Bivalvia","Bryozoa","Caenogastropoda","Carcinidae","Cephalopoda","Chordata","Cirripedia","Copepoda","Coralline_algae","Cumacea","Cyanobacteria","Decapoda","Echinodermata","Echinoidea","Eupercaria incertae sedis","Foraminifera","Galatheidae","Gastropoda","Gobiidae","Harpacticoida","Hemichordata","Hippolytidae","Holocentridae","Holothuroidea","Hydrozoa","Inorganic_detritus","Isopoda","Littorinimorpha","Macroalgae","Majidae","Microalgae","Mollusca","Mulliformes","Nematoda","Neogastropoda","Ophiuroidea","Organic_detritus","Paguridae","Polyplacophora","Pomacentridae","Porifera","Portunidae","Pycnogonida","Rhynchocinetidae","Scaphopoda","Seagrass","Sipuncula","Spermatophyta","Stomatopoda","Tanaidacea","Trochida","Turf","Xanthidae","Zooplankton"
"Abalistes_stellatus",0.011889035667107,0.018004794755125,0.0193013356817848,0.0152404716473409,0.0109594402857283,0.0134546699936396,0.0194725769362493,0.0123049072850922,0.0189833162092079,0.0128430940848378,0.0203287832085718,0.0175399970644356,0.0169284211556338,0.0112529967219531,0.0174666079553794,0.0181760360095895,0.0130387983756544,0.0115220901218259,0.0199373746269387,0.0160966779196634,NA,0.019032242281912,0.0161700670287196,0.0206957287538529,0.0171241254464504,0.0192768726454328,0.0167571799011693,0.0159988257742551,0.0102500122315182,0.0110328293947845,0.00836635843240863,0.0133812808845834,0.0109594402857283,0.0161700670287196,0.0181271099368854,0.0189833162092079,0.0184695924458144,0.0130387983756544,0.019032242281912,0.0112529967219531,0.0161700670287196,0.0117422574489946,0.0133812808845834,0.0138460785752728,0.0170996624100983,0.0181026469005333,0.0138460785752728,0.016316845246832,0.0185919076275747,0.0161700670287196,0.0154851020108616,0.0130387983756544,0.0170996624100983,0.0112285336856011,0.0161700670287196,0.0169039581192818,0.0174666079553794,0.0138460785752728,0.0209158960810216,0.0202309310631636,0.0170262733010421,0.0206468026811488,0.018689759772983,0.0171241254464504
"Abudefduf_abdominalis",0.0575409624564572,NA,NA,0.0451554638111211,NA,0.0855373500193523,NA,NA,0.0523803380209005,NA,NA,NA,NA,NA,NA,NA,NA,0.0754741323700168,NA,NA,0.0621855244484583,NA,NA,NA,NA,0.0458005418655657,NA,NA,NA,0.0779254289769062,NA,NA,NA,NA,0.0441233389240098,NA,NA,NA,0.0841181782995742,NA,0.0786995226422397,NA,0.061024383950458,NA,NA,NA,0.0535414785189008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0606373371177912,NA,0.115856018578248
"Abudefduf_bengalensis",NA,0.0484338423810055,NA,0.0504960428045926,NA,0.050551777951176,0.0385687214357374,NA,0.0406866570059079,NA,0.0353918180804816,NA,NA,NA,NA,NA,NA,0.037621223943819,NA,NA,NA,0.0345000557351466,NA,0.0320477092854754,NA,0.0387916620220711,NA,0.0402965109798239,NA,0.0489911938468398,NA,NA,NA,NA,0.0473748745959202,0.038903132315238,0.0487125181139226,NA,0.0496042804592576,NA,0.0287593356370527,NA,NA,NA,NA,NA,0.0366737264519006,NA,NA,NA,0.04364061977483,NA,NA,NA,NA,NA,0.0359491695463159,NA,0.0320477092854754,0.0398506298071564,NA,0.0499386913387582,NA,0.0521680972020956
"Abudefduf_concolor",NA,NA,NA,0.121832884097035,NA,0.105480682839173,NA,NA,0.0539083557951482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0634321653189578,NA,NA,NA,0.11266846361186,NA,NA,NA,NA,0.0925426774483378,0.062533692722372,NA,NA,0.118598382749326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11015274034142,NA,0.15884995507637
"Abudefduf_conformis",NA,NA,NA,NA,NA,0.160098522167488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178571428571429,NA,NA,NA,NA,NA,0.191297208538588,NA,NA,0.217159277504105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252873563218391
"Abudefduf_notatus",NA,0.0595567867036011,NA,0.0950484764542936,NA,0.110976454293629,NA,NA,0.052112188365651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588642659279778,NA,NA,NA,0.086218836565097,NA,NA,NA,NA,0.087084487534626,0.0503808864265928,NA,NA,0.090893351800554,NA,NA,NA,NA,NA,NA,NA,0.0534972299168975,NA,NA,NA,0.0721952908587258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066308864265928,NA,0.116862880886427
"Abudefduf_saxatilis",NA,0.0476801025723215,NA,0.0725218366856319,NA,0.0713999519192243,0.0304511579453482,NA,0.0508053529930283,NA,0.0471191601891177,NA,NA,NA,NA,NA,0.0447952560301306,0.0451959291609905,0.0255629457488581,NA,NA,NA,NA,NA,NA,0.0445548521516147,NA,0.054090872666079,NA,0.0364612549082459,NA,NA,NA,NA,0.0577770654699896,0.0544114111707669,0.0401474477121564,NA,0.072281432807116,NA,NA,NA,NA,NA,NA,NA,0.0293292731789406,NA,NA,NA,0.0259636188797179,NA,NA,NA,NA,NA,NA,NA,NA,0.0233993108422149,NA,0.0504848144883404,NA,0.0755669524801667
"Abudefduf_septemfasciatus",NA,0.0493892257667633,NA,0.062659284647157,NA,0.0613410668775815,0.0514104930134458,NA,0.0651199578170314,NA,0.0537832849986818,NA,NA,NA,NA,NA,NA,0.0416556815185869,NA,NA,NA,0.0281219790842781,NA,NA,NA,0.0326039195008349,NA,0.0356797609631778,NA,0.0401617013797346,NA,NA,NA,NA,0.0393707707179893,NA,0.0413041567800334,NA,0.059319799630899,NA,0.0610774233236664,NA,NA,NA,NA,NA,NA,NA,NA,0.0427102557342473,0.0356797609631778,NA,NA,NA,NA,NA,0.0387556024255207,NA,NA,0.0356797609631778,NA,0.0434133052113543,NA,0.080762808682661
"Abudefduf_sexfasciatus",NA,0.032875802523799,NA,0.0829090104051362,NA,0.0979632499446535,NA,NA,0.0653088332964357,NA,NA,NA,NA,NA,NA,NA,NA,0.0688510073057339,NA,NA,NA,NA,NA,NA,NA,0.065751605047598,NA,NA,NA,0.0793668363958379,NA,NA,NA,NA,0.0733894177551472,NA,0.0677440779278282,NA,0.0975204781934912,NA,NA,NA,NA,NA,NA,NA,0.0653088332964357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325437237104273,NA,0.0708434801859641,NA,0.0996236440115121
"Abudefduf_sordidus",NA,0.0422806844031253,NA,0.0462862229255267,NA,0.0468796360399565,0.0214617743052121,NA,0.0390663633666304,NA,0.0362971021659579,0.017208980318465,NA,NA,NA,NA,NA,0.0188903174760162,NA,0.0164177628325586,NA,0.0302146177430521,NA,0.0192364751261003,0.016862822668381,0.0407971516170507,0.0209672633765206,0.031154188507566,NA,0.0327366234793789,NA,NA,NA,NA,0.0417861734744338,0.0357531401443972,0.035703689051528,NA,0.0454950054396202,NA,0.0286321827712392,NA,NA,NA,NA,0.0255167639204826,0.0169617248541193,0.0257145682919593,0.0247255464345762,NA,0.0341212540797152,NA,0.0267035901493423,NA,NA,NA,0.0210167144693898,NA,0.0161705073682128,0.0335278409652853,NA,0.0423795865888636,0.0221540896053803,0.0468796360399565
