"Category_scheme","SiteCode","SurveyID","Pts","sum_cover","#N/A","0","Ascidians","Black & Octocorals","Bleached coral","Bryozoa","Cnidaria","Crustaceans","Dead coral","Hydrocoral","Macroalgae","Molluscs","Seagrasses","Sponges","Stony corals","Substrate","Worms"
"RLS Basic (Transparency)","CS5","912342244",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,59,NA
"RLS Basic (Transparency)","CS9","912342266",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,1,5,19,NA
"RLS Basic (Transparency)","CS9","912342267",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,1,14,26,NA
"RLS/CATAMI","CS128","912343302",100,100,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,6,14,NA
"RLS/CATAMI","CS128","912343303",100,100,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,8,NA,NA
"RLS/CATAMI","CS134","912343314",100,100,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,19,NA
"RLS/CATAMI","CS178","912345440",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,6,24,NA
"RLS/CATAMI","CS178","912345441",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75,NA,NA,NA,7,17,NA
"RLS/CATAMI","CS174","912345468",100,100,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,47,NA
"RLS/CATAMI","CS174","912345478",100,100,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,5,11,NA
"RLS/CATAMI","GBR46","912345490",100,100,NA,NA,1,5,NA,NA,1,NA,2,NA,61,NA,NA,NA,30,NA,NA
"RLS/CATAMI","GBR46","912345491",100,100,NA,NA,NA,3,NA,NA,NA,NA,2,NA,53,NA,NA,NA,31,11,NA
"RLS/CATAMI","GBR47","912345492",100,100,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,26,1,NA,NA,49,1,NA
"RLS/CATAMI","GBR47","912345493",100,100,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,1,30,NA
"RLS/CATAMI","CS194","912345499",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,10,16,4,NA
"RLS/CATAMI","CS194","912345500",100,100,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,53,NA,NA,8,31,7,NA
"RLS/CATAMI","CS192","912345501",100,100,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,24,33,NA
"RLS/CATAMI","CS192","912345502",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,19,64,NA
"RLS/CATAMI","CS201","912345513",100,100,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,48,7,NA
"RLS/CATAMI","CS201","912345514",100,100,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,23,38,NA
"RLS/CATAMI","GBR48","912345521",100,100,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,35,NA,NA,NA,54,NA,NA
"RLS/CATAMI","GBR49","912345522",100,100,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,67,NA,NA,NA,20,5,NA
"RLS/CATAMI","CS188","912345523",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,3,12,22,NA
"RLS/CATAMI","CS189","912345524",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,38,21,NA
"RLS/CATAMI","GBR48","912345530",100,100,NA,NA,NA,4,NA,NA,NA,NA,3,NA,58,NA,NA,1,14,20,NA
